cyl_ch1,cyl_ch2,hook_ch1,hook_ch2,tip_ch1,tip_ch2,palm_ch1,palm_ch2,spher_ch1,spher_ch2,lat_ch1,lat_ch2,target
0.148703,0.15117,0.021195,0.125662,0.225208,0.15117,0.0977,0.100154,0.709739,0.176677,0.021195,0.329724,0
0.0977,0.253201,0.021195,0.355232,0.225208,0.202185,-0.004307,0.074646,0.276211,0.253201,0.25071,0.253201,0
0.276211,0.125662,0.072198,0.406247,0.480224,0.253201,0.072198,0.074646,0.429221,0.253201,0.225208,0.023631,1
0.276211,0.176677,0.327214,-0.180431,0.429221,0.176677,0.021195,0.227693,0.327214,0.253201,0.021195,0.15117,1
0.25071,0.304216,0.327214,-0.001877,0.174205,0.253201,-0.004307,0.227693,0.174205,0.100154,0.352716,0.227693,0
0.352716,0.100154,0.276211,0.253201,-0.004307,0.15117,0.046696,0.125662,-0.284825,-0.129416,0.709739,0.15117,0
0.148703,0.049139,0.174205,0.125662,-0.157317,0.15117,0.225208,0.253201,-0.05531,0.074646,0.378218,0.15117,0
-0.05531,0.100154,0.148703,-0.0784,-0.106313,-0.027385,0.352716,0.15117,-0.106313,0.15117,-0.310326,0.202185,0
-0.131815,0.100154,0.174205,0.176677,0.199706,0.100154,0.301713,0.074646,-0.004307,0.049139,-0.259323,0.125662,0
-0.080812,0.049139,0.021195,0.15117,0.403719,0.049139,0.148703,-0.052892,-0.029808,0.049139,0.072198,0.100154,0
-0.106313,0.253201,-0.004307,0.406247,0.174205,0.15117,0.123201,0.074646,0.429221,0.253201,0.378218,0.049139,0
0.148703,0.253201,0.021195,-0.0784,0.021195,0.074646,0.072198,0.304216,0.88825,0.202185,0.327214,0.227693,0
0.327214,0.176677,0.148703,-0.333478,0.225208,0.278708,-0.004307,0.227693,0.454723,0.176677,-0.05531,0.049139,1
0.276211,0.176677,0.174205,-0.30797,0.174205,0.074646,-0.05531,0.227693,0.0977,0.15117,-0.157317,0.15117,0
0.276211,0.023631,0.225208,0.610309,0.25071,0.227693,0.123201,0.15117,-0.182818,0.227693,0.225208,0.329724,0
0.352716,0.074646,0.276211,0.559294,0.199706,0.074646,0.174205,0.15117,-0.310326,0.100154,0.964755,0.15117,0
0.327214,0.023631,0.199706,0.227693,-0.05531,0.125662,0.378218,0.125662,-0.20832,-0.052892,0.021195,0.049139,0
0.148703,0.125662,0.072198,0.176677,-0.386831,0.100154,0.403719,0.100154,-0.05531,0.125662,0.072198,0.100154,0
0.123201,0.125662,-0.05531,0.355232,0.021195,0.049139,0.480224,-0.052892,0.199706,0.355232,-0.182818,0.15117,0
-0.080812,0.049139,0.0977,0.278708,0.378218,0.202185,0.480224,0.202185,0.123201,0.278708,-0.004307,0.176677,0
0.046696,0.227693,0.0977,0.278708,0.301713,0.227693,0.352716,0.15117,0.505726,0.227693,0.174205,0.100154,0
0.174205,0.176677,0.199706,0.15117,0.378218,0.202185,-0.284825,0.074646,0.301713,0.227693,0.0977,0.125662,0
0.072198,0.125662,0.301713,0.253201,0.352716,0.176677,-0.335828,0.176677,0.327214,0.227693,0.225208,0.253201,0
0.174205,0.176677,0.174205,0.253201,0.021195,0.176677,-0.131815,0.15117,0.378218,0.100154,0.378218,0.304216,0
0.25071,0.15117,0.148703,0.202185,0.0977,0.15117,0.25071,0.253201,-0.004307,0.023631,0.123201,0.15117,0
0.225208,0.15117,0.25071,0.125662,0.072198,0.049139,0.25071,0.125662,0.021195,0.125662,-0.05531,0.049139,0
0.148703,0.202185,0.199706,0.049139,0.021195,0.176677,0.0977,0.227693,0.276211,0.100154,0.072198,0.023631,0
0.225208,0.125662,0.148703,-0.103908,-0.080812,0.049139,-0.004307,0.15117,0.148703,0.100154,0.123201,0.202185,1
0.0977,0.049139,-0.106313,-0.052892,0.123201,0.227693,0.199706,0.100154,-0.386831,-0.103908,0.301713,0.176677,0
-0.029808,0.176677,-0.004307,-0.052892,0.276211,0.278708,0.148703,0.227693,0.021195,0.15117,0.276211,0.074646,0
0.174205,0.15117,0.25071,0.431755,0.174205,0.253201,0.378218,0.176677,0.123201,0.074646,-0.05531,0.176677,1
0.148703,0.202185,0.582231,0.355232,0.352716,0.202185,0.429221,0.15117,0.582231,0.304216,-0.106313,0.176677,0
0.123201,0.278708,0.684237,0.074646,0.505726,0.125662,0.276211,0.049139,0.276211,0.329724,0.276211,0.227693,0
0.327214,0.125662,0.301713,-0.0784,0.378218,0.074646,0.199706,0.049139,0.505726,0.15117,0.0977,0.125662,1
0.352716,0.023631,-0.029808,-0.282462,0.123201,-0.001877,0.021195,0.202185,0.505726,0.278708,0.123201,0.049139,1
0.0977,0.176677,-0.412333,0.355232,0.046696,0.15117,-0.004307,0.202185,-0.131815,0.227693,0.148703,0.023631,0
0.0977,0.176677,-0.106313,0.049139,-0.335828,-0.0784,-0.029808,0.100154,-0.488838,-0.154923,0.199706,0.15117,0
-0.004307,0.100154,0.225208,0.406247,-0.20832,0.049139,0.072198,0.125662,-0.131815,-0.052892,0.072198,0.202185,0
-0.080812,0.202185,0.276211,0.049139,-0.106313,-0.154923,0.123201,0.176677,-0.05531,0.049139,-0.182818,0.227693,0
0.0977,0.125662,-0.080812,0.227693,0.174205,0.253201,0.301713,0.125662,0.276211,0.253201,0.480224,0.125662,0
0.174205,0.100154,-0.412333,0.023631,0.276211,0.278708,0.174205,0.023631,0.0977,0.304216,1.168768,0.202185,0
0.327214,0.176677,-0.335828,-0.052892,0.429221,0.406247,0.021195,0.227693,0.378218,0.380739,0.276211,0.253201,0
0.225208,0.074646,0.327214,0.176677,0.199706,0.355232,0.174205,0.15117,0.276211,0.15117,-0.259323,0.023631,1
0.0977,0.15117,1.066762,0.253201,0.403719,0.202185,0.123201,0.202185,0.531228,0.329724,-0.335828,0.100154,0
0.225208,0.15117,0.786244,0.202185,0.072198,0.227693,0.021195,0.329724,0.403719,0.176677,-0.080812,0.100154,1
0.046696,0.100154,0.709739,0.380739,0.123201,0.202185,0.225208,0.100154,-0.743854,-0.103908,-0.029808,0.100154,0
-0.080812,0.227693,-0.616346,0.227693,-0.029808,0.074646,0.25071,0.100154,-0.590844,-0.052892,-0.004307,0.074646,0
0.0977,0.125662,-0.259323,0.253201,-0.182818,0.049139,0.199706,0.15117,-0.182818,0.023631,-0.182818,0.202185,0
0.148703,0.15117,-0.182818,0.074646,0.021195,0.15117,0.225208,0.100154,0.378218,0.049139,0.225208,0.176677,0
0.046696,0.125662,-0.080812,0.431755,0.123201,-0.027385,0.225208,0.100154,0.633234,0.049139,0.556729,0.253201,0
0.174205,0.202185,0.021195,0.023631,0.454723,0.15117,0.021195,0.125662,0.531228,0.253201,0.964755,0.202185,0
0.276211,0.253201,-0.004307,-0.30797,0.25071,0.049139,-0.05531,0.176677,0.480224,0.304216,0.25071,0.049139,1
0.225208,0.253201,0.684237,0.125662,0.531228,0.329724,-0.233821,0.176677,0.607732,0.48277,0.148703,0.049139,0
0.301713,0.227693,1.143267,0.049139,0.327214,0.227693,-0.233821,0.329724,0.276211,0.176677,-0.131815,0.023631,1
0.633234,0.074646,-0.437835,0.125662,0.378218,0.253201,0.454723,0.253201,0.199706,0.100154,-0.335828,0.100154,1
0.403719,0.049139,-0.743854,-0.103908,-0.259323,-0.052892,0.709739,0.15117,-0.004307,0.202185,0.148703,0.202185,0
-0.05531,-0.103908,-0.20832,0.890894,-0.412333,0.125662,0.480224,0.100154,0.021195,0.15117,0.021195,0.125662,0
-0.106313,-0.027385,0.684237,-0.103908,-0.080812,0.023631,0.25071,0.125662,-0.182818,0.15117,0.199706,0.227693,0
-0.182818,0.100154,0.556729,0.380739,0.505726,-0.0784,0.072198,0.049139,-0.131815,0.202185,0.276211,0.355232,0
-0.20832,0.049139,0.352716,0.227693,0.123201,0.253201,0.072198,0.049139,-0.335828,-0.103908,0.301713,0.304216,0
0.046696,0.125662,0.964755,-0.231447,-0.131815,0.176677,0.174205,0.202185,0.25071,-0.0784,0.378218,0.176677,0
-0.004307,0.15117,-0.641848,0.125662,-0.310326,-0.027385,-0.157317,0.15117,0.123201,-0.001877,0.0977,0.074646,0
0.174205,0.278708,0.0977,-0.180431,0.327214,0.202185,-0.284825,0.227693,0.352716,0.15117,-0.131815,-0.001877,0
0.403719,0.253201,-0.106313,0.202185,0.531228,0.227693,0.072198,0.406247,0.276211,0.176677,0.607732,0.074646,1
0.403719,0.227693,-0.692851,0.329724,0.480224,0.329724,0.352716,0.049139,0.072198,0.278708,0.199706,0.100154,0
0.327214,0.304216,0.684237,0.610309,-0.080812,0.304216,0.072198,-0.103908,-0.080812,0.304216,-0.20832,0.049139,0
0.25071,0.074646,-0.20832,0.304216,0.174205,0.329724,0.148703,0.278708,-0.259323,0.074646,-0.080812,0.100154,0
0.148703,0.074646,1.168768,-0.282462,0.072198,0.074646,0.301713,0.176677,-0.029808,-0.0784,0.327214,0.227693,1
0.123201,0.125662,0.505726,-0.027385,0.811746,0.227693,0.199706,0.176677,0.148703,-0.052892,-0.284825,0.355232,0
0.123201,0.023631,-0.335828,0.457263,0.123201,0.023631,-0.080812,0.278708,0.403719,0.304216,0.174205,0.227693,1
-0.004307,-0.001877,0.123201,0.253201,-0.284825,0.100154,0.607732,0.176677,0.429221,0.380739,0.429221,0.100154,0
-0.080812,0.100154,0.072198,0.457263,0.072198,0.049139,0.327214,-0.027385,0.633234,0.380739,-0.106313,-0.001877,0
-0.080812,0.227693,-0.386831,0.635817,0.072198,0.202185,0.021195,0.176677,0.531228,0.278708,-0.05531,-0.001877,0
0.123201,0.329724,-0.488838,-0.767109,0.123201,0.125662,0.123201,0.227693,-0.539841,0.15117,0.123201,0.100154,0
0.276211,0.227693,0.531228,0.355232,0.0977,-0.103908,0.276211,0.15117,-0.310326,0.15117,0.0977,0.202185,0
0.25071,0.227693,0.301713,0.406247,-0.157317,0.049139,0.199706,0.049139,-0.080812,-0.154923,0.123201,0.15117,1
0.276211,0.227693,0.939254,0.763355,-0.080812,0.023631,0.352716,0.202185,0.633234,0.049139,0.148703,0.049139,1
0.429221,0.176677,0.964755,0.176677,0.352716,0.074646,-0.029808,0.15117,0.735241,0.227693,0.378218,0.023631,1
0.403719,0.074646,2.188834,-0.0784,0.327214,-0.027385,-0.233821,0.100154,0.582231,0.253201,0.378218,0.304216,1
0.021195,-0.154923,-1.330392,0.100154,0.25071,0.431755,0.123201,0.074646,-0.259323,-0.052892,0.327214,0.329724,0
-0.157317,0.023631,-1.432398,-0.129416,0.072198,0.278708,0.021195,0.100154,-0.233821,0.074646,0.021195,0.227693,0
-0.004307,0.125662,0.913752,0.100154,0.301713,0.355232,0.0977,0.278708,0.072198,0.355232,-0.131815,0.125662,0
0.046696,0.176677,-0.233821,0.125662,0.352716,0.176677,0.174205,0.125662,0.0977,0.202185,0.199706,0.15117,0
-0.029808,0.125662,0.123201,-0.231447,0.148703,-0.027385,0.199706,0.049139,0.225208,0.176677,0.148703,0.049139,0
0.046696,0.202185,-0.106313,0.023631,0.276211,0.253201,0.352716,0.304216,-0.106313,0.202185,0.225208,-0.001877,0
0.174205,0.227693,-0.743854,0.584801,0.021195,0.100154,0.046696,0.202185,-0.20832,0.100154,-0.310326,-0.001877,0
0.403719,0.15117,-0.182818,-0.0784,-0.029808,-0.027385,-0.004307,0.049139,-0.05531,-0.052892,-0.029808,0.15117,0
0.25071,0.15117,0.021195,-0.0784,-0.080812,0.15117,0.352716,0.15117,0.199706,0.049139,0.403719,0.202185,1
0.072198,0.15117,-0.259323,0.355232,-0.029808,0.023631,0.25071,0.125662,0.276211,0.15117,0.327214,0.15117,0
0.046696,0.15117,-0.20832,1.018433,0.199706,0.278708,0.072198,0.100154,0.531228,0.253201,0.301713,0.15117,0
0.0977,0.15117,0.658736,0.15117,0.301713,0.176677,0.021195,0.049139,0.531228,0.278708,-0.05531,0.15117,0
0.174205,0.202185,0.709739,-0.461016,0.199706,-0.027385,0.225208,0.15117,0.633234,0.329724,0.123201,0.202185,0
0.174205,0.15117,0.684237,0.253201,0.148703,0.227693,0.046696,0.253201,0.531228,0.176677,0.403719,0.176677,1
0.378218,0.253201,0.531228,0.253201,0.225208,0.304216,-0.131815,0.176677,-0.106313,-0.103908,0.199706,0.202185,0
0.352716,0.15117,0.633234,0.533786,0.072198,0.100154,-0.080812,0.15117,-0.565343,-0.0784,0.276211,0.176677,0
0.327214,0.100154,0.531228,0.023631,-0.106313,0.227693,0.25071,0.278708,-0.335828,0.125662,-0.182818,0.074646,0
0.174205,0.074646,1.423785,0.202185,0.123201,0.125662,0.174205,0.125662,-0.106313,0.253201,-0.284825,0.074646,0
0.072198,0.049139,0.939254,0.253201,-0.131815,-0.027385,0.0977,0.100154,0.25071,0.227693,0.276211,0.15117,1
-0.080812,0.125662,-0.36133,0.227693,-0.080812,0.049139,0.531228,0.049139,0.123201,0.278708,0.429221,0.176677,0
-0.080812,0.100154,-1.024372,-0.53754,0.582231,0.227693,0.301713,0.202185,0.276211,0.329724,0.148703,0.125662,0
0.072198,0.100154,-0.590844,0.049139,1.092263,0.202185,-0.284825,0.15117,0.276211,0.074646,0.072198,0.125662,0
0.0977,0.074646,-0.667349,0.074646,0.148703,0.15117,0.25071,0.176677,0.480224,0.125662,-0.029808,0.049139,1
0.148703,0.100154,0.913752,0.253201,0.021195,0.329724,0.429221,-0.027385,0.403719,0.15117,0.0977,0.227693,1
0.123201,0.329724,-0.488838,0.380739,-0.029808,0.125662,0.327214,0.125662,0.25071,0.253201,-0.004307,0.304216,0
0.174205,0.304216,1.296277,0.125662,-0.106313,-0.027385,0.072198,0.278708,-0.029808,0.074646,0.148703,0.227693,0
0.148703,0.202185,-0.743854,0.380739,-0.05531,0.227693,-0.20832,0.15117,-0.386831,-0.052892,0.25071,0.100154,0
0.276211,0.15117,-1.916929,0.814371,0.046696,-0.027385,0.046696,0.176677,0.021195,0.049139,0.327214,0.15117,0
0.378218,0.15117,-2.171946,0.15117,0.225208,-0.052892,0.148703,0.074646,0.021195,0.074646,0.276211,0.202185,0
0.429221,0.176677,1.678801,-0.129416,0.454723,0.355232,0.225208,0.202185,0.327214,0.176677,0.046696,0.049139,1
0.072198,0.100154,1.066762,-0.282462,-0.004307,0.125662,0.148703,-0.027385,0.25071,0.227693,-0.004307,0.023631,0
-0.284825,-0.103908,1.857312,-0.103908,-0.004307,0.304216,0.403719,0.074646,0.021195,0.049139,0.072198,0.100154,0
-0.106313,0.15117,0.301713,0.278708,0.072198,0.15117,-0.080812,0.100154,0.327214,0.253201,0.556729,0.125662,0
-0.004307,0.176677,0.480224,0.202185,0.25071,0.355232,-0.029808,0.278708,0.531228,0.329724,0.556729,0.227693,0
0.123201,0.15117,-0.769356,0.788863,0.327214,0.253201,-0.106313,0.202185,0.0977,0.176677,0.021195,0.125662,0
0.123201,0.15117,-0.539841,0.763355,0.0977,0.049139,-0.029808,0.125662,0.072198,0.202185,0.072198,0.100154,0
0.276211,0.227693,1.321778,0.074646,0.123201,-0.027385,-0.004307,0.049139,-0.080812,0.023631,0.021195,0.023631,0
0.174205,0.15117,2.571358,0.023631,0.174205,0.023631,0.225208,0.049139,0.046696,0.15117,-0.029808,0.176677,0
0.148703,0.176677,-0.616346,-0.384493,-0.20832,0.023631,0.123201,0.15117,0.276211,0.176677,0.021195,0.278708,0
0.0977,0.202185,-0.769356,0.023631,-0.029808,0.253201,0.429221,0.176677,0.174205,-0.001877,-0.004307,0.202185,0
0.0977,0.125662,-1.432398,-0.180431,0.811746,0.508278,0.429221,0.202185,-0.004307,0.100154,0.480224,0.253201,0
0.25071,0.253201,-1.61091,0.508278,0.505726,-0.205939,0.199706,0.074646,0.123201,0.176677,0.811746,0.15117,0
0.480224,0.049139,0.582231,-0.205939,0.505726,0.457263,0.225208,0.227693,0.0977,0.049139,0.301713,0.253201,1
0.25071,0.023631,0.174205,0.839879,0.021195,0.202185,0.0977,0.176677,0.0977,0.023631,-0.106313,0.278708,1
0.123201,0.202185,-1.024372,-0.001877,-0.157317,0.023631,0.123201,0.125662,-0.05531,0.100154,-0.386831,0.125662,0
0.0977,0.227693,0.556729,-0.512032,-0.182818,-0.103908,-0.157317,0.074646,0.225208,0.278708,-0.05531,0.049139,0
0.046696,0.15117,2.392847,-0.052892,-0.080812,0.202185,0.123201,0.100154,0.174205,0.508278,-0.182818,-0.001877,0
0.123201,0.100154,2.392847,0.559294,-0.106313,0.023631,-0.029808,0.15117,-0.029808,0.380739,-0.106313,-0.052892,0
0.046696,0.100154,0.148703,0.865386,-0.004307,0.15117,0.531228,0.100154,0.174205,0.227693,0.454723,0.100154,0
0.0977,0.15117,-0.896864,1.069448,0.0977,-0.001877,0.607732,0.15117,0.148703,-0.0784,0.837247,0.176677,0
0.199706,0.125662,-0.080812,-0.461016,0.225208,0.176677,0.378218,0.023631,0.148703,-0.0784,0.607732,0.227693,1
0.072198,0.125662,0.072198,-0.53754,-0.004307,0.049139,-0.259323,-0.001877,0.225208,0.049139,0.072198,0.202185,0
-0.080812,0.227693,0.378218,0.457263,0.658736,0.559294,-0.259323,0.176677,0.174205,0.304216,0.25071,0.125662,0
-0.131815,0.202185,0.531228,0.253201,0.199706,0.431755,-0.157317,0.253201,0.811746,0.074646,-0.004307,0.125662,0
0.301713,0.125662,-1.534405,0.584801,0.505726,0.227693,0.123201,0.202185,0.531228,0.176677,-0.335828,0.15117,1
0.301713,0.049139,-1.712916,-0.945664,0.556729,0.049139,0.072198,0.15117,0.276211,0.202185,0.123201,0.253201,1
0.301713,0.125662,-0.05531,0.125662,0.684237,-0.001877,0.684237,0.202185,-0.412333,0.278708,0.046696,0.176677,0
0.301713,0.176677,0.25071,-0.358985,0.658736,-0.0784,0.276211,0.15117,-0.641848,0.100154,0.199706,0.100154,0
0.225208,0.100154,0.837247,0.763355,-0.514339,-0.027385,0.199706,0.049139,-0.182818,-0.358985,0.301713,0.202185,1
0.072198,-0.001877,1.04126,0.508278,-0.947867,-0.205939,0.378218,-0.001877,0.225208,0.202185,0.174205,0.253201,1
-0.05531,-0.001877,0.454723,-0.180431,-0.284825,0.15117,0.352716,0.176677,0.811746,0.380739,0.352716,0.023631,0
0.0977,0.227693,-0.463336,0.533786,0.225208,0.253201,-0.335828,0.125662,0.429221,0.278708,-0.029808,0.023631,0
0.327214,0.304216,0.199706,0.15117,0.276211,0.253201,-0.386831,0.253201,0.021195,0.406247,0.123201,0.202185,0
0.276211,0.202185,1.627798,0.533786,0.199706,0.227693,-0.106313,0.278708,-0.20832,0.355232,0.429221,0.125662,0
-0.004307,0.15117,-0.284825,-0.256954,0.25071,0.227693,0.25071,0.176677,-0.182818,0.049139,0.480224,0.074646,0
-0.004307,0.176677,-0.20832,0.023631,0.174205,0.125662,-0.029808,0.125662,0.633234,0.176677,0.225208,0.15117,0
0.123201,0.176677,0.123201,0.508278,0.199706,0.023631,0.174205,0.202185,0.301713,-0.103908,-0.106313,0.253201,0
0.174205,0.125662,1.092263,0.100154,-0.05531,0.202185,0.225208,0.15117,0.199706,0.049139,0.072198,0.125662,1
-0.080812,0.023631,-1.126379,-0.052892,-0.029808,0.125662,0.531228,0.049139,-0.05531,0.100154,-0.310326,0.125662,0
0.0977,0.074646,-0.488838,0.023631,0.0977,0.176677,0.709739,-0.154923,-0.335828,0.100154,0.148703,0.15117,0
0.148703,0.202185,0.403719,-0.180431,0.225208,0.202185,0.709739,0.125662,0.148703,0.202185,0.352716,0.227693,0
0.531228,0.125662,0.709739,0.15117,0.531228,0.15117,0.327214,0.253201,0.429221,0.202185,0.123201,0.15117,1
0.276211,0.100154,0.811746,0.431755,0.403719,0.202185,-0.182818,0.253201,0.607732,0.304216,0.0977,0.023631,1
0.021195,0.15117,0.837247,1.27351,0.199706,0.278708,-0.386831,0.100154,0.0977,0.304216,0.276211,0.15117,0
-0.182818,0.125662,-0.080812,-0.30797,0.0977,0.202185,-0.080812,-0.001877,-0.182818,0.049139,0.0977,0.074646,0
0.403719,0.100154,-0.412333,-0.792617,0.429221,0.074646,0.276211,0.227693,-0.029808,0.074646,0.174205,-0.027385,0
0.0977,0.15117,-0.565343,0.304216,0.021195,0.125662,0.199706,0.253201,-0.080812,0.023631,0.301713,0.15117,0
-0.080812,0.100154,0.939254,-0.129416,-0.004307,0.074646,0.021195,0.100154,0.072198,0.049139,0.046696,0.202185,0
0.0977,0.074646,1.143267,0.15117,-0.157317,0.049139,-0.004307,0.100154,0.072198,0.125662,0.046696,0.15117,0
0.072198,0.125662,-1.202884,0.635817,-0.05531,-0.027385,0.199706,0.176677,0.225208,-0.282462,0.225208,0.202185,0
0.301713,0.100154,-0.820359,0.661324,0.021195,-0.027385,0.199706,0.176677,0.148703,0.329724,0.199706,0.176677,0
0.403719,-0.001877,0.148703,-0.256954,0.123201,0.48277,0.072198,0.074646,0.174205,0.202185,0.021195,0.15117,0
0.123201,0.176677,-0.99887,-0.665078,0.174205,0.278708,0.148703,0.176677,0.378218,0.202185,0.0977,0.125662,0
0.301713,0.304216,-0.488838,0.661324,0.327214,-0.384493,0.327214,0.125662,0.301713,0.457263,0.046696,0.125662,0
0.352716,0.227693,1.143267,-0.154923,0.378218,0.380739,0.225208,0.202185,0.021195,0.227693,0.0977,0.176677,0
0.174205,0.202185,2.061326,-0.614063,0.0977,0.278708,0.021195,0.227693,-0.029808,0.15117,0.123201,0.074646,0
